"scientific_name","species","subspecies","subfamily","cites_annex","iucn_category","individuals","sex","superclass","cell_line","karyotype","dna","rna","wgs_sequencing","rna_seq","i_psc","tissue_of_origin","alternative_name","species_","taxon_id","synonym","tolid_prefix","assembly_id","assembly_name","genbank_accession","refseq_accession","genus","family","order","class","phylum","kingdom","superkingdom","genome_size","genome_size_draft","c_value","chromosome_number","haploid_number","assembly_level","assembly_span","assembly_date","contig_n50","scaffold_n50","chromosome_count","busco_completeness","gene_count","sequencing_status","published","TOGA_species","common_name","ploidy","refseq","ensembl","genome_match","ref_genome","divergence_mya_adj","taxon_id_ref","precomputed_age","adjusted_age","toga_assembly_name_ref","TOGA_ref","zoonomia","genome","annotation","individuals_cl","cell_lines","fibro","pbmc","ipsc","fibro_l","nspecies","cat","cat_num","silencer","illumina","tetrapod","selected","project","TOGA","annotation_level","fibro2","to_process","order2"
"Otus scops scops","Otus scops","scops","Strigiformes","II","LEAST CONCERN",5,"M/M/F/F/M","Birds","Fibro",NA,NA,NA,"X",NA,NA,"Tissue (skin)",NA,"Otus_scops","126827","Strix scops","bOtuSco","GCA_039877175.1",NA,"GCA_039877175.1",NA,"Otus","Strigidae","Strigiformes","Aves","Chordata","Metazoa","Eukaryota",1369200000,NA,1.400390625,78,38,"Scaffold",1290760454,"2024-05-28",25579,86908813,NA,NA,NA,"insdc_open",NA,"not_in_toga","Eurasian scops owl,list(""common_name"")",2.0526315789473686,FALSE,FALSE,"species","Otus scops",1e-4,NA,NA,NA,NA,"not_in_toga",FALSE,TRUE,FALSE,6,0,1,0,0,TRUE,2,"Both",1,FALSE,TRUE,FALSE,FALSE,"illumina",FALSE,"no_annotation",1,1,"Other"
"Tyto alba","Tyto alba",NA,NA,"II","LEAST CONCERN",1,"M","Birds","Fibro",NA,"X","X","X","X",NA,"Tissue",NA,"Tyto_alba","56313","Strix alba","bTytAlb","GCA_000687205.1",NA,"GCA_000687205.1","GCF_000687205.1","Tyto","Tytonidae","Strigiformes","Aves","Chordata","Metazoa","Eukaryota",1594140000,NA,1.6298828125,92,46,"Scaffold",1120143088,"2021-06-03",17226,52818,NA,84.2,13081,"insdc_open",NA,"toga1/2","Common Barn-owl,list(""common_name"")",2,TRUE,FALSE,"species","Tyto alba",1e-4,NA,NA,NA,"HLtytAlb3","toga1/2",FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,2,"Both",1,FALSE,TRUE,FALSE,FALSE,"illumina",TRUE,"TOGA/refseq",1,1,"Other"
"Tauraco erythrolophus","Tauraco erythrolophus",NA,NA,"II","LEAST CONCERN",2,"F/F","Birds","Fibro",NA,"X","X","X","X",NA,"Trachea",NA,"Tauraco_erythrolophus","121530",NA,"bTauEry","GCA_009769465.1",NA,"GCA_009769465.1",NA,"Tauraco","Musophagidae","Musophagiformes","Aves","Chordata","Metazoa","Eukaryota",1391205000,NA,1.4169921875,82,41,"Chromosome",1252271553,"2014-06-25",11927027,85562082,33,91.10000000000001,14943,"insdc_open",NA,"toga1/2",NA,2,TRUE,FALSE,"species","Tauraco erythrolophus",1e-4,NA,NA,NA,"HLtauEry1","toga1/2",FALSE,TRUE,TRUE,2,1,1,0,0,TRUE,3,"Both",1,FALSE,FALSE,TRUE,FALSE,"tetrapod",TRUE,"TOGA/refseq",1,1,"Musophagiformes"
"Gallus gallus domestic","Gallus gallus","domestic",NA,"-","LEAST CONCERN",1,"M","Birds","Fibro",NA,"X",NA,"X",NA,NA,"Tissue",NA,"Gallus_gallus","9031","Gallus gallus domesticus; Phasianus gallus","bGalGal","GCA_000002315.5",NA,"GCA_000002315.5","GCF_000002315.6","Gallus","Phasianidae","Galliformes","Aves","Chordata","Metazoa","Eukaryota",1237170000,NA,1.2646484375,78,39,"Chromosome",1065348650,"2021-10-01",17655422,20785086,34,96.60000000000001,NA,"insdc_open",NA,"toga2","Domestic chicken,list(""common_name"")",2,TRUE,TRUE,"species","Gallus gallus",1e-4,NA,NA,NA,"HLgalGal7","toga2",TRUE,TRUE,TRUE,1,1,1,0,0,TRUE,4,"Both",1,FALSE,TRUE,FALSE,FALSE,"illumina",TRUE,"TOGA/refseq/ensembl",1,1,"Galliformes"
"Pavo cristatus","Pavo cristatus",NA,NA,"III","LEAST CONCERN",3,"U/U/F/M","Birds","Fibro",NA,"X","X","X","X",NA,"Trachea/Skin",NA,"Pavo_cristatus","9049",NA,"bPavCri","GCA_045791835.1",NA,"GCA_045791835.1",NA,"Pavo","Phasianidae","Galliformes","Aves","Chordata","Metazoa","Eukaryota",1310520000,NA,1.33984375,78,39,"Chromosome",1041763075,"2024-12-06",30501418,94977930,38,96.30000000000001,NA,"insdc_open",NA,"toga1/2",NA,2,FALSE,TRUE,"species","Pavo cristatus",1e-4,NA,NA,NA,"HLpavCri1","toga1/2",FALSE,TRUE,TRUE,4,3,3,0,0,TRUE,4,"Both",1,FALSE,FALSE,TRUE,TRUE,"tetrapod",TRUE,"TOGA/ensembl",3,2,"Galliformes"
"Musophaga violacea","Musophaga violacea",NA,NA,NA,"LEAST CONCERN",1,"M","Birds","Fibro",NA,NA,NA,NA,NA,NA,"Trachea",NA,"Musophaga_violacea","103959",NA,"bMusVio","GCA_009769465.1",NA,"GCA_009769465.1",NA,"Musophaga","Musophagidae","Musophagiformes","Aves","Chordata","Metazoa","Eukaryota",1391205000,NA,1.4169921875,82,41,"Chromosome",1252271553,"2014-06-25",11927027,85562082,NA,91.10000000000001,14943,"insdc_open",NA,NA,NA,2,FALSE,FALSE,"family","Tauraco erythrolophus",8.648895,"121530",8.648895,8.6489,"HLtauEry1","toga1/2",FALSE,TRUE,TRUE,1,0,1,0,0,TRUE,3,"Both",1,FALSE,TRUE,FALSE,FALSE,"illumina",FALSE,"no_annotation",1,1,"Musophagiformes"
"Tauraco schalowi","Tauraco schalowi",NA,NA,"II","LEAST CONCERN",1,"M","Birds","Fibro",NA,"X","X","X","X",NA,"Trachea",NA,"Tauraco_schalowi","119419","Tauraco livingstoni schalowi; Tauraco persa schalowi; Corythaix schalowi","bTauSca","GCA_009769465.1",NA,"GCA_009769465.1",NA,"Tauraco","Musophagidae","Musophagiformes","Aves","Chordata","Metazoa","Eukaryota",1391205000,NA,1.4169921875,82,41,"Chromosome",1252271553,"2014-06-25",11927027,85562082,NA,91.10000000000001,14943,"insdc_open",NA,NA,NA,2,FALSE,FALSE,"genus","Tauraco erythrolophus",7.269765,"121530",7.269765,7.26976,"HLtauEry1","toga1/2",FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,3,"Both",1,FALSE,FALSE,TRUE,FALSE,"tetrapod",FALSE,"no_annotation",1,1,"Musophagiformes"
"Lophura edwardsi","Lophura edwardsi",NA,NA,"I","CRITICALLY ENDANGERED",1,"U","Birds","Fibro",NA,"X",NA,NA,NA,NA,"Trachea",NA,"Lophura_edwardsi","9043","Gennaeus edwardsi","bLopEdw","GCA_030408155.1",NA,"GCA_030408155.1",NA,"Lophura","Phasianidae","Galliformes","Aves","Chordata","Metazoa","Eukaryota",1237170000,NA,1.2646484375,50,25,"Chromosome",1144026423,"2023-07-05",11027439,61385513,NA,NA,NA,"insdc_open",NA,NA,NA,2,FALSE,FALSE,"genus","Lophura swinhoii",2.056095,"140446",2.056095,2.0561,"HLlopSwin1","toga2",FALSE,TRUE,NA,1,1,1,0,0,TRUE,4,"Both",1,FALSE,TRUE,FALSE,FALSE,"illumina",FALSE,"no_annotation",1,1,"Galliformes"
"Polyplectron napoleonis","Polyplectron napoleonis",NA,NA,"I","VULNERABLE",2,"F/M","Birds","Fibro",NA,"X",NA,NA,NA,NA,"Trachea",NA,"Polyplectron_napoleonis","30403","Polyplectron emphanum","bPolNap","GCA_055773855.1",NA,"GCA_055773855.1",NA,"Polyplectron","Phasianidae","Galliformes","Aves","Chordata","Metazoa","Eukaryota",1237170000,NA,1.2646484375,78,39,"Scaffold",1033619963,"2026-03-10",373542,24201565,NA,NA,NA,"insdc_open",NA,NA,NA,2,FALSE,FALSE,"genus","Polyplectron katsumatae",9.241995,"472241",9.241995,9.24199,NA,"not_in_toga",FALSE,TRUE,NA,2,2,2,0,0,TRUE,4,"Both",1,FALSE,FALSE,TRUE,FALSE,"tetrapod",FALSE,"no_annotation",2,2,"Galliformes"
"Aegypius monachus","Aegypius monachus",NA,NA,"II","NEAR THREATENED",1,"M","Birds","Fibro",NA,NA,NA,NA,NA,NA,NA,NA,"Aegypius_monachus","8959","Vultur monachus","bAegMon","GCA_982185325.1",NA,"GCA_982185325.1",NA,"Aegypius","Accipitridae","Accipitriformes","Aves","Chordata","Metazoa","Eukaryota",1398540000,NA,1.43359375,66,33,"Scaffold",1226417048,"2026-03-08",34526133,34526133,NA,NA,NA,"insdc_open",NA,"not_in_toga",NA,2,FALSE,FALSE,"species","Aegypius monachus",1e-4,NA,NA,NA,NA,"not_in_toga",FALSE,TRUE,FALSE,1,1,1,0,0,TRUE,3,"Both",1,FALSE,FALSE,TRUE,FALSE,"tetrapod",FALSE,"no_annotation",1,1,"Accipitriformes"
"Sarcoramphus papa","Sarcoramphus papa",NA,NA,"III","LEAST CONCERN",1,"F","Birds","Fibro",NA,"x",NA,NA,NA,NA,"Skin/traquea",NA,"Sarcoramphus_papa","43583","Sarcorhamphus papa; Vultur papa","bSarPap","GCA_037950955.1",NA,"GCA_037950955.1",NA,"Sarcoramphus","Cathartidae","Accipitriformes","Aves","Chordata","Metazoa","Eukaryota",1476780000,NA,1.509765625,80,40,"Chromosome",1469241744,"2024-04-04",30635722,87061668,39,NA,18126,"insdc_open",NA,"toga2",NA,2,FALSE,FALSE,"species","Sarcoramphus papa",1e-4,NA,NA,NA,"HLsarPapa1A","toga2",FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,3,"Both",1,FALSE,FALSE,TRUE,FALSE,"tetrapod",TRUE,"TOGA",1,1,"Accipitriformes"
"Haliaeetus leucocephalus","Haliaeetus leucocephalus",NA,NA,"II","LEAST CONCERN",1,"M","Birds","Fibro",NA,"X",NA,"X",NA,NA,"Tissue",NA,"Haliaeetus_leucocephalus","52644","Falco leucocephalus","bHalLeo","GCA_000737465.1",NA,"GCA_000737465.1","GCF_000737465.1","Haliaeetus","Accipitridae","Accipitriformes","Aves","Chordata","Metazoa","Eukaryota",1398540000,NA,1.4296875,66,33,"Scaffold",1178409481,"2014-08-04",105493,9145499,NA,96.9,15655,"insdc_open",NA,"toga1/2","Bald Eagle,list(""common_name"")",2,TRUE,FALSE,"species","Haliaeetus leucocephalus",1e-4,NA,NA,NA,"halLeu1","toga1/2",FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,3,"Both",1,FALSE,TRUE,FALSE,FALSE,"illumina",TRUE,"TOGA/refseq",1,1,"Accipitriformes"
"Marmaronetta angustirostris","Marmaronetta angustirostris",NA,NA,"-","VULNERABLE",1,"F","Birds","Fibro",NA,NA,NA,"X",NA,NA,NA,NA,"Marmaronetta_angustirostris","75875","Anas angustirostris","bMarAng","GCA_056319825.1",NA,"GCA_056319825.1",NA,"Marmaronetta","Anatidae","Anseriformes","Aves","Chordata","Metazoa","Eukaryota",1349640000,NA,1.3798828125,80,40,"Scaffold",822452733,"2026-03-24",679,42944025,NA,NA,NA,"insdc_open",NA,"not_in_toga",NA,2,FALSE,FALSE,"species","Marmaronetta angustirostris",1e-4,NA,NA,NA,NA,"not_in_toga",FALSE,TRUE,FALSE,1,1,1,0,0,TRUE,6,"Both",1,FALSE,FALSE,TRUE,FALSE,"tetrapod",FALSE,"no_annotation",1,1,"Anseriformes"
"Netta peposaca","Netta peposaca",NA,NA,"-","LEAST CONCERN",1,"F","Birds","Fibro",NA,"X",NA,"X",NA,NA,"Tissue (trachea)",NA,"Netta_peposaca","541013","Anas peposaca","bNetPep","GCA_051419195.1",NA,"GCA_051419195.1",NA,"Netta","Anatidae","Anseriformes","Aves","Chordata","Metazoa","Eukaryota",1349640000,NA,1.3798828125,82,41,"Scaffold",1203952546,"2025-07-20",15217,75817134,NA,NA,NA,"insdc_open",NA,"toga2",NA,2,FALSE,FALSE,"species","Netta peposaca",1e-4,NA,NA,NA,"HLnetPepo1","toga2",FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,6,"Both",1,FALSE,FALSE,TRUE,FALSE,"tetrapod",TRUE,"TOGA",1,1,"Anseriformes"
"Anas platyrhynchos","Anas platyrhynchos",NA,NA,"?","LEAST CONCERN",1,"-","Birds","Fibro",NA,"X","X","X",NA,NA,NA,NA,"Anas_platyrhynchos","8839","Anas boschas; Anas domesticus; Anas platyrhynchos f. domestica; Anas oustaleti","bAnaPla","GCA_964188345.1",NA,"GCA_964188345.1",NA,"Anas","Anatidae","Anseriformes","Aves","Chordata","Metazoa","Eukaryota",1418100000,1246000000,1.4501953125,80,40,"Chromosome",1300232380,"2025-02-12",3518761,69288905,41,97.10000000000001,18146,"published","DTOL","toga1/2","Mallard,list(""common_name"")",2,TRUE,TRUE,"species","Anas platyrhynchos",1e-4,NA,NA,NA,"HLanaPla1","toga1/2",FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,6,"Both",1,FALSE,FALSE,TRUE,FALSE,"tetrapod",TRUE,"TOGA/refseq/ensembl",1,1,"Anseriformes"
"Netta rufina","Netta rufina",NA,NA,NA,"LEAST CONCERN",1,"-","Birds","Fibro",NA,NA,NA,NA,NA,NA,"Tissue",NA,"Netta_rufina","30387","Anas rufina","bNetRuf","GCA_964035555.1",NA,"GCA_964035555.1",NA,"Netta","Anatidae","Anseriformes","Aves","Chordata","Metazoa","Eukaryota",1349640000,NA,1.3798828125,82,41,"Chromosome",1166961997,"2024-04-29",3347974,77261329,42,96.80000000000001,NA,"published","DTOL","toga2","Red-crested Pochard,list(""common_name"")",2,TRUE,FALSE,"species","Netta rufina",1e-4,NA,NA,NA,"HLnetRuf1","toga2",FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,6,"Both",1,FALSE,FALSE,TRUE,FALSE,"tetrapod",TRUE,"TOGA/refseq",1,1,"Anseriformes"
"Chauna torquata","Chauna torquata",NA,NA,"-","LEAST CONCERN",1,"M","Birds","Fibro",NA,"x","x","x","x",NA,"Trachea",NA,"Chauna_torquata","30388","Chaja torquata","bChaTor","GCA_013399475.1",NA,"GCA_013399475.1",NA,"Chauna","Anhimidae","Anseriformes","Aves","Chordata","Metazoa","Eukaryota",1364310000,NA,1.4169921875,80,40,"Scaffold",1162596281,"2025-07-20",39550,232486,NA,90.5,15083,"insdc_open",NA,"toga1/2","Southern screamer,list(""common_name"")",2,FALSE,FALSE,"species","Chauna torquata",1e-4,NA,NA,NA,"HLchaTor1","toga1/2",FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,6,"Both",1,FALSE,TRUE,FALSE,FALSE,"illumina",TRUE,"TOGA",1,1,"Anseriformes"
"Cygnus atratus","Cygnus atratus",NA,NA,"-","LEAST CONCERN",1,"F","Birds","Fibro",NA,"X",NA,NA,NA,NA,"Trachea/Tissue",NA,"Cygnus_atratus","8868","Anas atrata; Anas plutonia; Anser novaehollandiae; Cygnus atractus","bCygAtr","GCA_013377495.2",NA,"GCA_013377495.2","GCF_013377495.2","Cygnus","Anatidae","Anseriformes","Aves","Chordata","Metazoa","Eukaryota",1418100000,NA,1.4501953125,80,40,"Chromosome",1124217020,"2022-08-03",28995010,84552148,35,97.2,18459,"insdc_open",NA,"toga1/2","Black swan,list(""common_name"")",2,TRUE,FALSE,"species","Cygnus atratus",1e-4,NA,NA,NA,"HLcygAtr2","toga1/2",FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,6,"Both",1,FALSE,TRUE,FALSE,FALSE,"illumina",TRUE,"TOGA/refseq",1,1,"Anseriformes"
"Streptopelia decaocto","Streptopelia decaocto",NA,NA,NA,"LEAST CONCERN",1,"-","Birds","Fibro","x",NA,NA,NA,NA,NA,"Tissue",NA,"Streptopelia_decaocto","177147","Columba decaocto","bStrDea","GCA_964273445.1",NA,"GCA_964273445.1",NA,"Streptopelia","Columbidae","Columbiformes","Aves","Chordata","Metazoa","Eukaryota",1290960000,NA,1.3203125,76,38,"Chromosome",1290939990,"2024-10-04",2425281,78754139,33,96.9,NA,"published","DTOL","toga2","Eurasian Collared-dove,list(""common_name"")",2,TRUE,FALSE,"species","Streptopelia decaocto",1e-4,NA,NA,NA,"HLstrDec1A","toga2",FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,3,"Both",1,FALSE,FALSE,TRUE,FALSE,"tetrapod",TRUE,"TOGA/refseq",1,1,"Columbiformes"
"Caloenas nicobarica","Caloenas nicobarica",NA,NA,"I","NEAR THREATENED",4,"F/M/U/F","Birds","Fibro",NA,"X",NA,"X",NA,NA,"Trachea",NA,"Caloenas_nicobarica","187106","Columba nicobarica","bCalNic","GCA_036010745.1",NA,"GCA_036010745.1",NA,"Caloenas","Columbidae","Columbiformes","Aves","Chordata","Metazoa","Eukaryota",1506120000,NA,1.5400390625,80,40,"Chromosome",1197404482,"2024-01-26",24693610,107988563,40,NA,15520,"insdc_open",NA,"toga1/2","Nicobar pigeon,list(""common_name"")",2,TRUE,FALSE,"species","Caloenas nicobarica",1e-4,NA,NA,NA,"HLcalNico2A","toga1/2",FALSE,TRUE,TRUE,4,1,1,0,0,TRUE,3,"Both",1,FALSE,FALSE,TRUE,TRUE,"tetrapod",TRUE,"TOGA/refseq",1,1,"Columbiformes"
"Zenaida graysoni","Zenaida graysoni",NA,NA,"-","EXTINCT IN THE WILD",1,"F","Birds","Fibro",NA,"X",NA,"X",NA,NA,"Tissue",NA,"Zenaida_graysoni","115709",NA,"bZenGra","GCA_056576445.1",NA,"GCA_056576445.1",NA,"Zenaida","Columbidae","Columbiformes","Aves","Chordata","Metazoa","Eukaryota",1378980000,NA,1.41015625,76,38,"Scaffold",1171512729,"2026-04-03",100918,560311,NA,NA,NA,"insdc_open",NA,NA,NA,2,FALSE,FALSE,"genus","Zenaida macroura",0.262726,"47245",0.262726,0.26273,NA,"not_in_toga",FALSE,TRUE,NA,1,1,1,0,0,TRUE,3,"Both",1,FALSE,FALSE,TRUE,FALSE,"tetrapod",FALSE,"no_annotation",1,1,"Columbiformes"
"Nycticorax nycticorax","Nycticorax nycticorax",NA,NA,"-","LEAST CONCERN",8,"M/U/U/M/U/F/M","Birds","Fibro",NA,"X","X","X","X",NA,"Tissue",NA,"Nycticorax_nycticorax","8901","Ardea nycticorax; Ardea spec","bNycNyc","GCA_023375905.1",NA,"GCA_023375905.1",NA,"Nycticorax","Ardeidae","Pelecaniformes","Aves","Chordata","Metazoa","Eukaryota",1320300000,NA,1.349609375,64,32,"Scaffold",1179028144,"2022-05-16",73971,3016563,NA,NA,NA,"insdc_open",NA,"toga2","Black-crowned night heron,list(""common_name"")",2,FALSE,FALSE,"species","Nycticorax nycticorax",1e-4,NA,NA,NA,"HLnycNyc1","toga2",FALSE,TRUE,TRUE,8,2,2,0,0,TRUE,6,"Both",1,FALSE,TRUE,FALSE,FALSE,"illumina",TRUE,"TOGA",2,2,"Pelecaniformes"
"Platalea leucorodia","Platalea leucorodia",NA,NA,"II","LEAST CONCERN",7,"M/M/F/M/M/F/F","Birds","Fibro",NA,"X",NA,"x",NA,NA,NA,NA,"Platalea_leucorodia","257867",NA,"bPlaLeu","GCA_965183815.1",NA,"GCA_965183815.1",NA,"Platalea","Threskiornithidae","Pelecaniformes","Aves","Chordata","Metazoa","Eukaryota",1222500000,NA,1.25,68,35,"Chromosome",1345825956,"2025-03-04",3299000,94714899,37,97.4,NA,"published","DTOL","toga2","Eurasian spoonbill,list(""common_name"")",1.9428571428571428,TRUE,FALSE,"species","Platalea leucorodia",1e-4,NA,NA,NA,"HLplaLeuc1A","toga2",FALSE,TRUE,TRUE,7,1,1,0,0,TRUE,6,"Both",1,FALSE,FALSE,TRUE,TRUE,"tetrapod",TRUE,"TOGA/refseq",1,1,"Pelecaniformes"
"Plegadis falcinellus","Plegadis falcinellus",NA,NA,"-","LEAST CONCERN",4,"M/M/-/-","Birds","Fibro",NA,"X",NA,NA,NA,NA,NA,NA,"Plegadis_falcinellus","52788","Tantalus falcinellus; Plegadis falcinellus falcinellus","bPleFal","GCA_045787385.1",NA,"GCA_045787385.1",NA,"Plegadis","Threskiornithidae","Pelecaniformes","Aves","Chordata","Metazoa","Eukaryota",1222500000,NA,1.25,50,25,"Scaffold",1218421240,"2024-12-06",48305,50846,NA,NA,NA,"insdc_open",NA,"toga2","Glossy Ibis,list(""common_name"")",2,FALSE,FALSE,"species","Plegadis falcinellus",1e-4,NA,NA,NA,"HLpleFalc1","toga2",FALSE,TRUE,TRUE,4,1,1,0,0,TRUE,6,"Both",1,FALSE,FALSE,TRUE,FALSE,"tetrapod",TRUE,"TOGA",1,1,"Pelecaniformes"
"Eudocimus ruber","Eudocimus ruber",NA,NA,"II","LEAST CONCERN",2,"M/M","Birds","Fibro",NA,"X","X","X","X",NA,"Tissue/Trachea",NA,"Eudocimus_ruber","335483","Scolopax rubra","bEudRub","GCA_041043685.1",NA,"GCA_041043685.1",NA,"Eudocimus","Threskiornithidae","Pelecaniformes","Aves","Chordata","Metazoa","Eukaryota",1222500000,NA,1.25,66,33,"Scaffold",1216035411,"2024-08-05",35096,101016769,NA,NA,NA,"insdc_open",NA,"toga2",NA,2,FALSE,FALSE,"species","Eudocimus ruber",1e-4,NA,NA,NA,"HLeudRube1","toga2",FALSE,TRUE,TRUE,3,2,2,0,0,TRUE,6,"Both",1,FALSE,FALSE,TRUE,TRUE,"tetrapod",TRUE,"TOGA",2,2,"Pelecaniformes"
"Threskiornis aethiopicus","Threskiornis aethiopicus",NA,NA,NA,"LEAST CONCERN",1,"U","Birds","Fibro",NA,NA,NA,NA,NA,NA,"Tissue/Trachea",NA,"Threskiornis_aethiopicus","100858","Tantalus aethiopicus; Threskiornis aethiopica","bThrAet","GCA_056153025.1",NA,"GCA_056153025.1",NA,"Threskiornis","Threskiornithidae","Pelecaniformes","Aves","Chordata","Metazoa","Eukaryota",1222500000,NA,1.25,68,34,"Chromosome",1214168801,"2026-03-19",10701647,101381103,27,NA,16787,"insdc_open",NA,"toga2","Sacred ibis,list(""common_name"")",2,FALSE,FALSE,"species","Threskiornis aethiopicus",1e-4,NA,NA,NA,"HLthrAeth1","toga2",FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,6,"Both",1,FALSE,TRUE,FALSE,TRUE,"illumina",TRUE,"TOGA",1,1,"Pelecaniformes"
"Pelecanus crispus","Pelecanus crispus",NA,NA,"I","NEAR THREATENED",1,"M","Birds","Fibro",NA,"X","X","X","X",NA,"Trachea",NA,"Pelecanus_crispus","36300","Pelecanus philippensis crispus","bPelCri","GCA_030463565.1",NA,"GCA_030463565.1","GCF_030463565.1","Pelecanus","Pelecanidae","Pelecaniformes","Aves","Chordata","Metazoa","Eukaryota",1290960000,NA,1.3203125,66,33,"Chromosome",1314568463,"2023-07-18",9666746,86807213,34,88.7,14504,"insdc_open",NA,"toga1/2","Dalmatian pelican,list(""common_name"")",2,TRUE,FALSE,"species","Pelecanus crispus",1e-4,NA,NA,NA,"HLpelCris2","toga1/2",FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,6,"Both",1,FALSE,FALSE,TRUE,FALSE,"tetrapod",TRUE,"TOGA/refseq",1,1,"Pelecaniformes"
"Guaruba guarouba","Guaruba guarouba",NA,NA,"I","VULNERABLE",2,"M/F","Birds","Fibro",NA,"X",NA,"X",NA,NA,"Trachea","Guaruba guarouba","Guaruba_guarouba","51906","Aratinga guarouba; Psittacus guarouba; ? guarouba","bGuaGua","GCA_045345405.1",NA,"GCA_045345405.1",NA,"Guaruba","Psittacidae","Psittaciformes","Aves","Chordata","Metazoa","Eukaryota",1339860000,NA,1.3671875,70,35,"Chromosome",1366127126,"2024-12-02",33341676,109727540,36,72.2,20092,"insdc_open",NA,"toga1/2",NA,2,FALSE,FALSE,"species","Guaruba guarouba",1e-4,NA,NA,NA,"HLguaGuar2","toga1/2",FALSE,TRUE,TRUE,2,1,1,0,0,TRUE,11,"Both",1,FALSE,TRUE,FALSE,TRUE,"illumina",TRUE,"TOGA",1,1,"Psittaciformes"
"Trichoglossus moluccanus","Trichoglossus moluccanus",NA,NA,NA,"LEAST CONCERN",3,"M/U/F","Birds","Fibro",NA,NA,NA,NA,NA,NA,"Tissue",NA,"Trichoglossus_moluccanus","1549204","Trichoglossus haematodus moluccanus","bTriMol","GCA_041053225.1",NA,"GCA_041053225.1",NA,"Trichoglossus","Psittaculidae","Psittaciformes","Aves","Chordata","Metazoa","Eukaryota",1300740000,NA,1.330078125,46,23,"Scaffold",1192125813,"2024-08-05",95614,72769352,NA,NA,NA,"insdc_open",NA,"toga2",NA,2,FALSE,FALSE,"species","Trichoglossus moluccanus",1e-4,NA,NA,NA,"HLtriMol2","toga2",FALSE,TRUE,TRUE,3,0,1,0,0,TRUE,11,"Both",1,FALSE,FALSE,TRUE,FALSE,"tetrapod",TRUE,"TOGA",1,1,"Psittaciformes"
"Eclectus roratus","Eclectus roratus",NA,NA,"II","LEAST CONCERN",1,"M","Birds","Fibro",NA,"X",NA,"X",NA,NA,"Tissue",NA,"Eclectus_roratus","176024","Electus roratus; Lorius roratus; Psittacus roratus","bEclRor","GCA_011763535.2",NA,"GCA_011763535.2",NA,"Eclectus","Psittacidae","Psittaciformes","Aves","Chordata","Metazoa","Eukaryota",1555020000,NA,1.58984375,70,35,"Scaffold",1120776969,"2022-07-21",17249,28643,NA,66.9,NA,"insdc_open",NA,"toga1/2","Eclectus parrot,list(""common_name"")",2,FALSE,FALSE,"species","Eclectus roratus",1e-4,NA,NA,NA,"HLeclRor1","toga1/2",FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,11,"Both",1,FALSE,TRUE,FALSE,FALSE,"illumina",TRUE,"TOGA",1,1,"Psittaciformes"
"Anodorhynchus hyacinthinus","Anodorhynchus hyacinthinus",NA,NA,"I","VULNERABLE",2,"M/M","Birds","Fibro",NA,NA,NA,NA,NA,NA,"Trachea",NA,"Anodorhynchus_hyacinthinus","51900","Anodorhynchus hyacinthus; Anodorhynchus hyancinthus; Psittacus hyacinthinus","bAnoHya","GCA_009936445.2",NA,"GCA_009936445.2",NA,"Anodorhynchus","Psittacidae","Psittaciformes","Aves","Chordata","Metazoa","Eukaryota",1320300000,NA,1.349609375,70,35,"Scaffold",1105970761,"2022-07-21",12520,12605,NA,NA,NA,"insdc_open",NA,"toga1/2","Hyacinth macaw,list(""common_name"")",2,FALSE,FALSE,"species","Anodorhynchus hyacinthinus",1e-4,NA,NA,NA,"HLanoHya1","toga1/2",FALSE,TRUE,TRUE,2,1,1,0,0,TRUE,11,"Both",1,FALSE,TRUE,FALSE,FALSE,"illumina",TRUE,"TOGA",1,1,"Psittaciformes"
"Amazona autumnalis","Amazona autumnalis",NA,NA,"II","CRITICALLY ENDANGERED",3,"M/M/F","Birds","Fibro",NA,NA,NA,NA,NA,NA,"Tissue (skin)","Amazona Lilacina","Amazona_autumnalis","151759","Psittacus autumnalis","bAmaAut","GCA_024331665.1",NA,"GCA_024331665.1",NA,"Amazona","Psittacidae","Psittaciformes","Aves","Chordata","Metazoa","Eukaryota",1476780000,NA,1.509765625,68,34,"Scaffold",1299624158,"2022-07-20",4664,17050,NA,NA,NA,"insdc_open",NA,"not_in_toga","Lilacine Amazon,list(""common_name"")",2,FALSE,FALSE,"species","Amazona autumnalis",1e-4,NA,NA,NA,NA,"not_in_toga",FALSE,TRUE,FALSE,4,1,1,0,0,TRUE,11,"Both",1,FALSE,FALSE,TRUE,FALSE,"tetrapod",FALSE,"no_annotation",1,1,"Psittaciformes"
